Reference,Qty,Item,Manufacturer,MPN,Supplier_or_source,Estimated_unit_cost_USD,Status,Notes
EXT1,1,4-wire 5 kg load cell,HT Sensor Technology,TAL220B-5KG,SparkFun SEN-14729,TBD,prototype item,"Bench characterization/calibration required; wire colors must be continuity-checked before connection."
EXT2,1,JST GH mating housing,JST,GHR-04V-S,DigiKey 455-1564-ND,TBD,required,"Mates with J2; order contacts separately."
EXT3,4,JST GH crimp contact,JST,SSHL-002T-P0.2,DigiKey 455-2148-1-ND,TBD,required,"Requires suitable crimp tooling or pre-crimped leads."
EXT4,1,USB-C cable and SELV USB supply,TBD,TBD,User-supplied,TBD,required,"Use a compliant SELV USB source; no mains circuitry is present on the carrier."
EXT5,1,Printed base and top plate/bin cradle,OpenSCAD source,parts-tally-platform.scad,User-fabricated,TBD,design source complete,"Material/process and bin fit remain unverified; loads bypass the PCB."
EXT6,2,M5 load-cell fastener set,TBD,ISO metric M5,Hardware supplier,TBD,required,"Length and washer stack must be selected after measuring the purchased TAL220B and printed bosses."
EXT7,4,M3 PCB standoff and screw set,TBD,ISO metric M3,Hardware supplier,TBD,required,"Fits 3.2 mm PCB holes; keep separate from scale force path."
EXT8,4,M4 nylon-tip overload set screw jam nut and heat-set insert set,TBD,M4 x 16 set screw plus insert,Hardware supplier,TBD,required,"Modeled insert pocket is 6.2 x 6 mm and modeled screw engagement/projection is 13.2 mm; verify purchased hardware. Adjust the tip below the 120% FS safe-overload boundary before installing the platform; do not rely on the printed 0.8 mm gap alone."
EXT9,4,Non-slip foot with M4 attachment,TBD,TBD,Hardware supplier,TBD,required,"Actual durometer, height, and mounting style require selection and level verification."
EXT10,2,M3 cable-clamp fastener,TBD,ISO metric M3,Hardware supplier,TBD,required,"Secures the load-cell cable without pinching it; verify bend radius and pull relief."
